species ,depth 
attenuatus,3
bifasciatus,2
bifrenatus,3
boulengeri,2
brachygnathus,NA
brevis,3
buescheri,2
c_brichardi,3
callipterus,3
calliurus,2
calvus,3
caudopunctatus,3
christyi,1
compressiceps,3
congoensis,NA
cunningtoni,3
cylindricus,3
dhonti,3
dickfeldi,3
elongatus,3
falcicula,2
fasciatus,3
furcifer,3
gracilis,2
hecqui,3
helianthus,1
kendalli,2
kungweensis,2
laparogramma,3
leleupi,3
leloupi,3
lemairii,3
longicaudatus,2
longior,2
marlieri,3
marunguensis,2
meeli,2
meleagris,2
mimicus,3
modestus,3
mondabu,1
moorii,1
multifasciatus,2
mustax,1
n_brichardi,3
niger,3
nigriventris,2
nkambae,NA
obscurus,3
ocellatus,2
olivaceous,3
ornatipinnis,2
ornatus,3
pectoralis,2
petricola,1
popelini,NA
prochilus,3
profundicola,3
pulcher,3
regani,3
savoryi,3
sexfasciatus,3
signatus,2
similis,2
sp,NA
speciosus,3
splendens,1
t_brichardi,3
temporalis,3
tetracanthus,3
teugelsi,NA
timidus,3
toae,1
transcriptus,3
tretocephalus,3
variostigma,2
ventralis,2
vittatus,3
walteri,3
wauthioni,2